part_number,description,source_type,sourcing_list_status,on_hand_units,tooling_owner,annual_spend_usd
SEA-P-0032,Keyed Damper,make,,2432,company,398764
SEA-P-0033,Milled Bushing,make,,1276,company,310823
SEA-P-0034,Axial Knuckle,make,,541,supplier,3885
SEA-P-0035,Damped Elbow,make,,3906,company,602660
SEA-P-0036,Beveled Damper,make,,,company,810274
SEA-P-0037,Beveled Gasket,make,,,company,192926
SEA-P-0038,Etched Housing,make,,2487,company,850095
SEA-P-0039,Laminated Flange,make,,0,company,672718
SEA-P-0040,Cast Flange,make,verified,2336,supplier,522287
SEA-P-0041,Forged Damper,make,,596,company,83586
SEA-P-0042,Laminated Elbow,make,,994,company,337039
SEA-P-0043,Milled Knuckle,make,,707,company,95035
SEA-P-0044,Laminated Bushing,make,,,company,672147
SEA-P-0045,Keyed Knuckle,make,,3007,company,470325
SEA-P-0046,Cast Insert,make,,66,supplier,263662
SEA-P-0047,Milled Damper,make,,2859,supplier,271125
SEA-P-0048,Cast Housing,make,,3243,supplier,3343
SEA-P-0049,Guided Elbow,make,,217,company,770170
SEA-P-0050,Laminated Lever,make,,1738,company,436130
SEA-P-0051,Inline Damper,make,,,company,370292
SEA-P-0052,Laminated Flange,make,,,company,871067
SEA-P-0053,Axial Damper,make,,,company,608135
SEA-P-0054,Axial Flange,make,,2686,,238540
SEA-P-0055,Guided Elbow,make,,686,company,840016
SEA-P-0056,Beveled Damper,make,,3484,supplier,23053
SEA-P-0057,Keyed Lever,make,,1325,supplier,111812
SEA-P-0058,Forged Damper,make,,323,,395696
SEA-P-0059,Laminated Housing,make,,679,company,575619
SEA-P-0060,Guided Knuckle,make,,,company,99627
SEA-P-0061,Hardened Collar,make,,1404,,645453
SEA-P-0062,Etched Collar,make,,3678,company,34498
SEA-P-0063,Damped Lever,make,,1786,company,175012
SEA-P-0064,Inline Insert,make,verified,2507,,166735
SEA-P-0065,Etched Lever,make,,239,supplier,217535
SEA-P-0066,Keyed Gasket,make,,798,company,583028
SEA-P-0067,Keyed Gasket,make,,2977,company,568362
SEA-P-0068,Forged Damper,make,,1106,company,313847
SEA-P-0069,Cast Insert,make,,992,,413987
SEA-P-0070,Hardened Bushing,make,,2361,company,516796
SEA-P-0071,Axial Bushing,make,,,supplier,6000
SEA-P-0072,Cast Knuckle,make,,1771,supplier,865918
SEA-P-0073,Cast Knuckle,make,,2731,company,505660
SEA-P-0074,Guided Journal,make,,837,,219005
SEA-P-0075,Beveled Gasket,make,,719,company,87916
SEA-P-0076,Guided Journal,make,,,company,325331
SEA-P-0077,Hardened Insert,make,,3234,company,514855
SEA-P-0078,Etched Insert,make,,,company,97563
SEA-P-0079,Axial Knuckle,make,,2649,company,195862
SEA-P-0080,Milled Bushing,make,,0,company,389345
SEA-P-0081,Laminated Insert,make,,,company,278085
SEA-P-0082,Etched Knuckle,make,,1821,company,239232
SEA-P-0083,Forged Bushing,make,,3448,supplier,66633
SEA-P-0084,Etched Gasket,make,,639,company,701891
SEA-P-0085,Cast Housing,make,,416,supplier,362491
SEA-P-0086,Axial Lever,make,,3330,company,795202
SEA-P-0087,Milled Elbow,make,,2435,supplier,65946
SEA-P-0088,Inline Collar,make,,3463,company,549967
SEA-P-0089,Inline Bushing,buy,verified,1734,,722442
SEA-P-0090,Laminated Elbow,buy,verified,3570,company,602534
SEA-P-0091,Laminated Insert,buy,verified,3631,supplier,315369
SEA-P-0092,Keyed Damper,buy,unverified,343,company,897420
SEA-P-0093,Cast Flange,buy,verified,2945,supplier,600967
SEA-P-0094,Cast Insert,buy,verified,3708,company,601245
SEA-P-0095,Inline Bracket,buy,verified,2795,company,156610
SEA-P-0096,Keyed Flange,buy,verified,512,,472852
SEA-P-0097,Hardened Bracket,buy,verified,728,company,177284
SEA-P-0098,Beveled Flange,buy,unverified,,company,134315
SEA-P-0099,Etched Damper,buy,verified,194,company,718308
SEA-P-0100,Axial Damper,buy,verified,,supplier,864520
SEA-P-0101,Keyed Bushing,buy,unverified,2589,supplier,625952
SEA-P-0102,Beveled Lever,buy,verified,1076,company,764422
SEA-P-0103,Hardened Bushing,buy,verified,3764,company,93254
SEA-P-0104,Inline Collar,buy,verified,1609,company,580870
SEA-P-0105,Cast Knuckle,buy,verified,,company,546932
SEA-P-0106,Hardened Insert,buy,verified,1896,company,14964
SEA-P-0107,Cast Elbow,buy,verified,3241,,618118
SEA-P-0108,Inline Journal,buy,verified,2160,company,119984
SEA-P-0109,Guided Damper,buy,verified,1717,supplier,596116
SEA-P-0110,Inline Lever,buy,verified,2428,company,107071
SEA-P-0111,Milled Damper,buy,verified,3808,supplier,819411
SEA-P-0112,Milled Elbow,buy,verified,433,company,563652
SEA-P-0113,Guided Knuckle,buy,verified,3625,company,432849
SEA-P-0114,Laminated Flange,buy,verified,1101,company,511172
SEA-P-0115,Hardened Insert,buy,verified,2363,company,41285
SEA-P-0116,Hardened Bushing,buy,unverified,725,supplier,152840
SEA-P-0117,Damped Damper,buy,unverified,2552,company,729356
SEA-P-0118,Beveled Flange,buy,verified,,supplier,349596
SEA-P-0119,Axial Journal,buy,verified,2848,supplier,783975
SEA-P-0120,Inline Damper,buy,verified,1966,company,392532
SEA-P-0121,Keyed Damper,buy,unverified,102,company,834204
SEA-P-0122,Axial Bushing,buy,verified,1261,company,885788
SEA-P-0123,Milled Knuckle,buy,verified,2033,company,720119
SEA-P-0124,Axial Damper,buy,unverified,422,,241030
SEA-P-0125,Beveled Bracket,buy,verified,570,company,781850
SEA-P-0126,Forged Bushing,buy,verified,1834,company,338454
SEA-P-0127,Inline Damper,buy,verified,1123,,636366
SEA-P-0128,Etched Knuckle,buy,verified,2664,supplier,465173
SEA-P-0129,Hardened Damper,buy,,885,company,428949
SEA-P-0130,Inline Collar,buy,verified,0,company,543590
SEA-P-0131,Milled Journal,buy,verified,3572,company,60936
SEA-P-0132,Keyed Housing,buy,verified,2130,company,70804
SEA-P-0133,Damped Housing,buy,unverified,1294,company,424979
SEA-P-0134,Guided Damper,buy,verified,,company,551753
SEA-P-0135,Beveled Bushing,buy,verified,3621,company,184176
SEA-P-0136,Laminated Gasket,buy,unverified,809,company,212477
SEA-P-0137,Forged Gasket,buy,verified,3448,supplier,36677
SEA-P-0138,Guided Housing,buy,verified,1889,supplier,379880
SEA-P-0139,Milled Bracket,buy,verified,,supplier,388244
SEA-P-0140,Laminated Knuckle,buy,verified,3393,company,418224
SEA-P-0141,Laminated Bushing,buy,verified,2622,company,716263
SEA-P-0142,Axial Gasket,buy,,145,supplier,514530
SEA-P-0143,Milled Flange,buy,verified,2453,company,499635
SEA-P-0144,Beveled Damper,buy,verified,2423,company,362971
SEA-P-0145,Damped Damper,buy,verified,689,,273224
SEA-P-0146,Inline Housing,buy,verified,,company,96782
SEA-P-0147,Cast Gasket,buy,verified,1187,supplier,54062
SEA-P-0148,Cast Elbow,buy,verified,687,company,819711
SEA-P-0149,Hardened Damper,buy,verified,,supplier,234103
SEA-P-0150,Beveled Housing,buy,unverified,2671,supplier,218773
SEA-P-0151,Inline Bushing,buy,verified,,company,540214
SEA-P-0152,Axial Knuckle,buy,verified,0,company,806858
SEA-P-0153,Inline Bracket,buy,verified,2814,supplier,140741
SEA-P-0154,Beveled Damper,buy,verified,2671,supplier,841767
SEA-P-0155,Cast Gasket,buy,verified,,supplier,639894
SEA-P-0156,Hardened Housing,buy,verified,3317,company,749362
SEA-P-0157,Damped Gasket,buy,verified,3980,company,290755
SEA-P-0158,Axial Collar,buy,verified,1755,company,894952
SEA-P-0159,Guided Bracket,buy,verified,,company,230808
SEA-P-0160,Guided Elbow,buy,verified,1931,company,547928
SEA-P-0161,Hardened Elbow,buy,verified,3396,company,614879
SEA-P-0162,Guided Lever,buy,verified,439,supplier,696530
SEA-P-0163,Milled Insert,buy,verified,3978,company,394408
SEA-P-0164,Laminated Lever,buy,unverified,,company,640635
SEA-P-0165,Hardened Collar,buy,,,supplier,115355
SEA-P-0166,Damped Elbow,buy,unverified,1993,supplier,291913
SEA-P-0167,Damped Bracket,buy,verified,2643,,292334
SEA-P-0168,Keyed Lever,buy,verified,1089,company,685112
SEA-P-0169,Inline Bracket,buy,,,supplier,544421
SEA-P-0170,Milled Flange,buy,verified,3155,supplier,61532
SEA-P-0171,Axial Bracket,buy,unverified,3319,company,851376
SEA-P-0172,Keyed Housing,buy,verified,2477,company,337109
SEA-P-0173,Inline Insert,buy,unverified,0,supplier,28691
SEA-P-0174,Cast Bracket,buy,verified,2704,,311963
SEA-P-0175,Inline Bushing,buy,unverified,1082,company,426252
SEA-P-0176,Cast Bushing,buy,verified,1610,company,613344
SEA-P-0177,Keyed Bushing,buy,verified,2920,,857653
SEA-P-0178,Laminated Damper,buy,,,company,750021
SEA-P-0179,Guided Bushing,buy,verified,930,company,671320
SEA-P-0180,Keyed Damper,buy,verified,3234,company,706505
SEA-P-0181,Keyed Journal,buy,verified,1488,company,888486
SEA-P-0182,Axial Journal,buy,verified,716,company,587365
SEA-P-0183,Beveled Gasket,buy,verified,761,supplier,495649
SEA-P-0184,Laminated Journal,buy,verified,544,company,762413
SEA-P-0185,Keyed Insert,buy,verified,,company,193961
SEA-P-0186,Forged Elbow,buy,,3898,company,353936
SEA-P-0187,Damped Knuckle,buy,verified,2700,supplier,374541
SEA-P-0188,Milled Flange,buy,verified,934,company,324002
SEA-P-0189,Damped Elbow,buy,verified,,company,349411
SEA-P-0190,Guided Collar,buy,verified,1542,supplier,310334
SEA-P-0191,Laminated Knuckle,buy,,0,,495393
SEA-P-0192,Etched Housing,buy,unverified,239,company,613922
SEA-P-0193,Forged Bushing,buy,verified,,company,76675
SEA-P-0194,Axial Housing,buy,verified,1954,company,526788
SEA-P-0195,Keyed Journal,buy,verified,510,company,402209
SEA-P-0196,Beveled Bushing,buy,,2190,supplier,58688
SEA-P-0197,Inline Damper,buy,verified,3586,company,146037
SEA-P-0198,Inline Elbow,buy,verified,840,company,599062
SEA-P-0199,Cast Flange,buy,verified,,company,481798
SEA-P-0200,Beveled Damper,buy,verified,606,company,752432
SEA-P-0201,Forged Elbow,buy,verified,758,company,513265
SEA-P-0202,Cast Housing,buy,verified,1382,company,187413
SEA-P-0203,Inline Lever,buy,verified,1303,,6942
SEA-P-0204,Etched Journal,buy,verified,1871,supplier,800169
SEA-P-0205,Laminated Insert,buy,verified,,supplier,803619
SEA-P-0206,Axial Knuckle,buy,verified,668,company,802660
SEA-P-0207,Inline Elbow,buy,verified,3213,supplier,646328
SEA-P-0208,Laminated Bushing,buy,verified,,company,424988
SEA-P-0209,Cast Elbow,buy,unverified,1777,company,403936
SEA-P-0210,Beveled Bushing,buy,unverified,39,supplier,211100
SEA-P-0211,Milled Insert,buy,verified,3012,company,16760
SEA-P-0212,Cast Elbow,buy,verified,3673,company,875703
SEA-P-0213,Etched Journal,buy,verified,2195,supplier,711621
SEA-P-0214,Damped Lever,buy,verified,36,,262909
SEA-P-0215,Forged Damper,buy,verified,946,company,363076
SEA-P-0216,Laminated Knuckle,buy,unverified,1298,supplier,404181
SEA-P-0217,Etched Insert,buy,,2081,company,177133
SEA-P-0218,Hardened Elbow,buy,verified,287,company,314687
SEA-P-0219,Axial Bushing,buy,verified,3904,supplier,765187
SEA-P-0220,Laminated Gasket,buy,verified,2151,,356245
SEA-P-0221,Etched Bracket,buy,,1796,company,142288
SEA-P-0222,Axial Flange,buy,verified,1423,company,515989
SEA-P-0223,Cast Knuckle,buy,unverified,1491,company,174892
SEA-P-0224,Etched Collar,buy,verified,,,853452
SEA-P-0225,Milled Housing,buy,unverified,1672,supplier,237217
SEA-P-0226,Inline Lever,buy,,,company,223449
SEA-P-0227,Guided Insert,buy,,3026,,531146
SEA-P-0228,Axial Bushing,buy,verified,,supplier,747652
SEA-P-0229,Beveled Lever,buy,verified,2684,,395417
SEA-P-0230,Cast Insert,buy,verified,,company,810713
SEA-P-0231,Axial Flange,buy,verified,,company,624774
SEA-P-0232,Keyed Insert,buy,verified,216,company,687315
SEA-P-0233,Cast Gasket,buy,unverified,3444,supplier,725255
SEA-P-0234,Cast Bracket,buy,unverified,494,company,400724
SEA-P-0235,Etched Flange,buy,unverified,526,,499440
SEA-P-0236,Axial Flange,buy,,2894,supplier,730961
SEA-P-0237,Damped Knuckle,buy,verified,2828,company,317743
SEA-P-0238,Damped Knuckle,buy,verified,0,company,696663
SEA-P-0239,Beveled Flange,buy,unverified,2151,supplier,637053
SEA-P-0240,Inline Gasket,buy,verified,2890,,873002
SEA-P-0241,Keyed Lever,buy,verified,3700,,755681
SEA-P-0242,Cast Damper,buy,verified,2550,supplier,121550
SEA-P-0243,Cast Collar,buy,unverified,3234,supplier,210296
SEA-P-0244,Guided Bracket,buy,verified,2514,supplier,277769
SEA-P-0245,Cast Lever,buy,unverified,,company,213469
SEA-P-0246,Forged Gasket,buy,verified,1486,company,311698
SEA-P-0247,Laminated Lever,buy,unverified,676,supplier,522465
SEA-P-0248,Damped Elbow,buy,verified,3748,supplier,506012
SEA-P-0249,Cast Lever,buy,verified,0,supplier,15368
SEA-P-0250,Beveled Gasket,buy,verified,2771,supplier,117795
SEA-P-0251,Axial Housing,buy,verified,3441,company,520105
SEA-P-0252,Damped Damper,buy,verified,630,company,819392
SEA-P-0253,Hardened Flange,buy,unverified,,supplier,760724
SEA-P-0254,Etched Damper,buy,verified,434,company,677636
SEA-P-0255,Damped Bracket,buy,verified,966,,312401
SEA-P-0256,Laminated Damper,buy,unverified,1101,company,106657
SEA-P-0257,Guided Flange,buy,unverified,3350,supplier,43360
SEA-P-0258,Etched Bushing,buy,verified,3510,supplier,842534
SEA-P-0259,Etched Flange,buy,verified,2792,company,776415
SEA-P-0260,Laminated Insert,buy,verified,494,supplier,797034
SEA-P-0261,Guided Knuckle,buy,verified,0,,895385
SEA-P-0262,Inline Flange,buy,verified,586,company,180795
SEA-P-0263,Axial Bushing,buy,verified,1366,company,460976
SEA-P-0264,Etched Collar,buy,,3932,company,770677
SEA-P-0265,Keyed Elbow,buy,verified,,company,361370
SEA-P-0266,Axial Bushing,buy,,769,,421692
SEA-P-0267,Keyed Gasket,buy,unverified,,company,878303
SEA-P-0268,Forged Lever,buy,verified,1599,company,503476
SEA-P-0269,Forged Gasket,buy,verified,3296,company,837620
SEA-P-0270,Keyed Insert,buy,verified,,supplier,731987
SEA-P-0271,Beveled Gasket,buy,verified,2995,supplier,887364
SEA-P-0272,Keyed Damper,buy,verified,672,supplier,621446
SEA-P-0273,Etched Bracket,buy,,1997,company,713346
SEA-P-0274,Milled Gasket,buy,verified,1814,supplier,400197
SEA-P-0275,Axial Insert,buy,unverified,3211,company,32216
SEA-P-0276,Inline Knuckle,buy,unverified,3553,company,881269
SEA-P-0277,Milled Lever,buy,verified,2998,company,139002
SEA-P-0278,Milled Knuckle,buy,verified,1998,company,120423
SEA-P-0279,Damped Flange,buy,,3655,company,50205
SEA-P-0280,Guided Bushing,buy,verified,279,supplier,331502
SEA-P-0281,Laminated Flange,buy,verified,70,company,712859
SEA-P-0282,Keyed Flange,buy,verified,2169,company,606660
SEA-P-0283,Laminated Bushing,buy,verified,,,704382
SEA-P-0284,Milled Elbow,buy,verified,,company,550513
SEA-P-0285,Inline Elbow,buy,verified,2839,company,101868
SEA-P-0286,Laminated Gasket,buy,verified,1792,company,262651
SEA-P-0287,Forged Gasket,buy,verified,1993,,711147
SEA-P-0288,Milled Elbow,buy,verified,,company,881789
SEA-P-0289,Inline Collar,buy,verified,3405,company,644686
SEA-P-0290,Damped Gasket,buy,verified,243,supplier,166550
SEA-P-0291,Laminated Gasket,buy,verified,2090,company,895251
SEA-P-0292,Laminated Lever,buy,verified,2050,company,80501
SEA-P-0293,Cast Journal,buy,verified,3097,company,254593
SEA-P-0294,Keyed Elbow,buy,unverified,,company,54796
SEA-P-0295,Guided Insert,buy,verified,2096,supplier,676567
