parent_part,child_part,qty_per_parent
SEA-FG-02,SEA-P-0086,1
SEA-FG-03,SEA-P-0003,2
SEA-FG-03,SEA-P-0007,4
SEA-FG-03,SEA-P-0011,2
SEA-FG-03,SEA-P-0015,1
SEA-FG-03,SEA-P-0019,2
SEA-FG-03,SEA-P-0023,2
SEA-FG-03,SEA-P-0027,4
SEA-FG-03,SEA-P-0031,4
SEA-FG-03,SEA-P-0035,1
SEA-FG-03,SEA-P-0039,4
SEA-FG-03,SEA-P-0043,4
SEA-FG-03,SEA-P-0047,4
SEA-FG-03,SEA-P-0051,4
SEA-FG-03,SEA-P-0055,3
SEA-FG-03,SEA-P-0059,4
SEA-FG-03,SEA-P-0063,3
SEA-FG-03,SEA-P-0067,2
SEA-FG-03,SEA-P-0071,2
SEA-FG-03,SEA-P-0075,4
SEA-FG-03,SEA-P-0079,1
SEA-FG-03,SEA-P-0083,1
SEA-FG-03,SEA-P-0087,3
SEA-P-0000,SEA-P-0089,4
SEA-P-0000,SEA-P-0090,1
SEA-P-0000,SEA-P-0091,2
SEA-P-0000,SEA-P-0178,3
SEA-P-0000,SEA-P-0267,6
SEA-P-0001,SEA-P-0089,2
SEA-P-0001,SEA-P-0090,4
SEA-P-0001,SEA-P-0091,1
SEA-P-0001,SEA-P-0179,5
SEA-P-0001,SEA-P-0268,4
SEA-P-0002,SEA-P-0089,2
SEA-P-0002,SEA-P-0090,3
SEA-P-0002,SEA-P-0091,5
SEA-P-0002,SEA-P-0180,6
SEA-P-0002,SEA-P-0269,6
SEA-P-0003,SEA-P-0089,1
SEA-P-0003,SEA-P-0090,1
SEA-P-0003,SEA-P-0091,3
SEA-P-0003,SEA-P-0092,6
SEA-P-0003,SEA-P-0181,4
SEA-P-0003,SEA-P-0270,6
SEA-P-0004,SEA-P-0093,6
SEA-P-0004,SEA-P-0182,4
SEA-P-0004,SEA-P-0271,4
SEA-P-0005,SEA-P-0094,5
SEA-P-0005,SEA-P-0183,6
SEA-P-0005,SEA-P-0272,4
SEA-P-0006,SEA-P-0095,5
SEA-P-0006,SEA-P-0184,2
SEA-P-0006,SEA-P-0273,1
SEA-P-0007,SEA-P-0096,2
SEA-P-0007,SEA-P-0185,1
SEA-P-0007,SEA-P-0274,1
SEA-P-0008,SEA-P-0097,4
SEA-P-0008,SEA-P-0186,5
SEA-P-0008,SEA-P-0275,3
SEA-P-0009,SEA-P-0098,2
SEA-P-0009,SEA-P-0187,6
SEA-P-0009,SEA-P-0276,2
SEA-P-0010,SEA-P-0099,3
SEA-P-0010,SEA-P-0188,6
SEA-P-0010,SEA-P-0277,4
SEA-P-0011,SEA-P-0100,4
SEA-P-0011,SEA-P-0189,2
SEA-P-0011,SEA-P-0278,6
SEA-P-0012,SEA-P-0101,4
SEA-P-0012,SEA-P-0190,1
SEA-P-0012,SEA-P-0279,2
SEA-P-0013,SEA-P-0102,1
SEA-P-0013,SEA-P-0191,6
SEA-P-0013,SEA-P-0280,3
SEA-P-0014,SEA-P-0103,4
SEA-P-0014,SEA-P-0192,3
SEA-P-0014,SEA-P-0281,6
SEA-P-0015,SEA-P-0104,3
SEA-P-0015,SEA-P-0193,6
SEA-P-0015,SEA-P-0282,5
SEA-P-0016,SEA-P-0105,6
SEA-P-0016,SEA-P-0194,5
SEA-P-0016,SEA-P-0283,3
SEA-P-0017,SEA-P-0106,6
SEA-P-0017,SEA-P-0195,1
SEA-P-0017,SEA-P-0284,4
SEA-P-0018,SEA-P-0107,4
SEA-P-0018,SEA-P-0196,5
SEA-P-0018,SEA-P-0285,5
SEA-P-0019,SEA-P-0108,6
SEA-P-0019,SEA-P-0197,1
SEA-P-0019,SEA-P-0286,5
SEA-P-0020,SEA-P-0109,2
SEA-P-0020,SEA-P-0198,3
SEA-P-0020,SEA-P-0287,3
SEA-P-0021,SEA-P-0110,4
SEA-P-0021,SEA-P-0199,5
SEA-P-0021,SEA-P-0288,4
SEA-P-0022,SEA-P-0111,2
SEA-P-0022,SEA-P-0200,4
SEA-P-0022,SEA-P-0289,6
SEA-P-0023,SEA-P-0112,5
SEA-P-0023,SEA-P-0201,6
SEA-P-0023,SEA-P-0290,5
SEA-P-0024,SEA-P-0113,5
SEA-P-0024,SEA-P-0202,3
SEA-P-0024,SEA-P-0291,3
SEA-P-0025,SEA-P-0114,1
SEA-P-0025,SEA-P-0203,1
SEA-P-0025,SEA-P-0292,3
SEA-P-0026,SEA-P-0115,4
SEA-P-0026,SEA-P-0204,5
SEA-P-0026,SEA-P-0293,6
SEA-P-0027,SEA-P-0116,5
SEA-P-0027,SEA-P-0205,6
SEA-P-0027,SEA-P-0294,4
SEA-P-0028,SEA-P-0117,5
SEA-P-0028,SEA-P-0206,3
SEA-P-0028,SEA-P-0295,3
SEA-P-0029,SEA-P-0118,6
SEA-P-0029,SEA-P-0207,1
SEA-P-0030,SEA-P-0119,1
SEA-P-0030,SEA-P-0208,4
SEA-P-0031,SEA-P-0120,1
SEA-P-0031,SEA-P-0209,4
SEA-P-0032,SEA-P-0121,6
SEA-P-0032,SEA-P-0210,1
SEA-P-0033,SEA-P-0122,4
SEA-P-0033,SEA-P-0211,4
SEA-P-0034,SEA-P-0123,2
SEA-P-0034,SEA-P-0212,3
SEA-P-0035,SEA-P-0124,4
SEA-P-0035,SEA-P-0213,6
SEA-P-0036,SEA-P-0125,2
SEA-P-0036,SEA-P-0214,4
SEA-P-0037,SEA-P-0126,1
SEA-P-0037,SEA-P-0215,6
SEA-P-0038,SEA-P-0127,3
SEA-P-0038,SEA-P-0216,2
SEA-P-0039,SEA-P-0128,4
SEA-P-0039,SEA-P-0217,4
SEA-P-0040,SEA-P-0129,3
SEA-P-0040,SEA-P-0218,2
SEA-P-0041,SEA-P-0130,2
SEA-P-0041,SEA-P-0219,6
SEA-P-0042,SEA-P-0131,4
SEA-P-0042,SEA-P-0220,5
SEA-P-0043,SEA-P-0132,3
SEA-P-0043,SEA-P-0221,6
SEA-P-0044,SEA-P-0133,3
SEA-P-0044,SEA-P-0222,3
SEA-P-0045,SEA-P-0134,4
SEA-P-0045,SEA-P-0223,5
SEA-P-0046,SEA-P-0135,3
SEA-P-0046,SEA-P-0224,5
SEA-P-0047,SEA-P-0136,4
SEA-P-0047,SEA-P-0225,4
SEA-P-0048,SEA-P-0137,3
SEA-P-0048,SEA-P-0226,4
SEA-P-0049,SEA-P-0138,1
SEA-P-0049,SEA-P-0227,4
SEA-P-0050,SEA-P-0139,4
SEA-P-0050,SEA-P-0228,6
SEA-P-0051,SEA-P-0140,1
SEA-P-0051,SEA-P-0229,5
SEA-P-0052,SEA-P-0141,6
SEA-P-0052,SEA-P-0230,3
SEA-P-0053,SEA-P-0142,5
SEA-P-0053,SEA-P-0231,3
SEA-P-0054,SEA-P-0143,1
SEA-P-0054,SEA-P-0232,2
SEA-P-0055,SEA-P-0144,3
SEA-P-0055,SEA-P-0233,1
SEA-P-0056,SEA-P-0145,2
SEA-P-0056,SEA-P-0234,3
SEA-P-0057,SEA-P-0146,6
SEA-P-0057,SEA-P-0235,4
SEA-P-0058,SEA-P-0147,1
SEA-P-0058,SEA-P-0236,2
SEA-P-0059,SEA-P-0148,6
SEA-P-0059,SEA-P-0237,4
SEA-P-0060,SEA-P-0149,1
SEA-P-0060,SEA-P-0238,5
SEA-P-0061,SEA-P-0150,1
SEA-P-0061,SEA-P-0239,5
SEA-P-0062,SEA-P-0151,2
SEA-P-0062,SEA-P-0240,6
SEA-P-0063,SEA-P-0152,2
SEA-P-0063,SEA-P-0241,4
SEA-P-0064,SEA-P-0153,1
SEA-P-0064,SEA-P-0242,3
SEA-P-0065,SEA-P-0154,5
SEA-P-0065,SEA-P-0243,1
SEA-P-0066,SEA-P-0155,2
SEA-P-0066,SEA-P-0244,4
SEA-P-0067,SEA-P-0156,2
SEA-P-0067,SEA-P-0245,3
SEA-P-0068,SEA-P-0157,2
SEA-P-0068,SEA-P-0246,2
SEA-P-0069,SEA-P-0158,4
SEA-P-0069,SEA-P-0247,4
SEA-P-0070,SEA-P-0159,6
SEA-P-0070,SEA-P-0248,2
SEA-P-0071,SEA-P-0160,1
SEA-P-0071,SEA-P-0249,3
SEA-P-0072,SEA-P-0161,5
SEA-P-0072,SEA-P-0250,3
SEA-P-0073,SEA-P-0162,2
SEA-P-0073,SEA-P-0251,3
SEA-P-0074,SEA-P-0163,4
SEA-P-0074,SEA-P-0252,3
SEA-P-0075,SEA-P-0164,6
SEA-P-0075,SEA-P-0253,5
SEA-P-0076,SEA-P-0165,3
SEA-P-0076,SEA-P-0254,6
SEA-P-0077,SEA-P-0166,3
SEA-P-0077,SEA-P-0255,3
SEA-P-0078,SEA-P-0167,2
SEA-P-0078,SEA-P-0256,5
SEA-P-0079,SEA-P-0168,5
SEA-P-0079,SEA-P-0257,1
SEA-P-0080,SEA-P-0169,5
SEA-P-0080,SEA-P-0258,5
SEA-P-0081,SEA-P-0170,6
SEA-P-0081,SEA-P-0259,2
SEA-P-0082,SEA-P-0171,6
SEA-P-0082,SEA-P-0260,1
SEA-P-0083,SEA-P-0172,1
SEA-P-0083,SEA-P-0261,2
SEA-P-0084,SEA-P-0173,2
SEA-P-0084,SEA-P-0262,6
SEA-P-0085,SEA-P-0174,3
SEA-P-0085,SEA-P-0263,4
SEA-P-0086,SEA-P-0175,1
SEA-P-0086,SEA-P-0264,4
SEA-P-0087,SEA-P-0176,5
SEA-P-0087,SEA-P-0265,5
SEA-P-0088,SEA-P-0177,1
SEA-P-0088,SEA-P-0266,2
