part_number,supplier_name,quoted_lead_time_days,lead_time_p95_days
SEA-P-0176,Kestrel Corp,50,66
SEA-P-0176,Calder Corporation,81,92
SEA-P-0176,Vantage Wks.,143,159
SEA-P-0177,marrow corporation,295,377
SEA-P-0177,Underhill Industries,26,40
SEA-P-0178,Jasper Works ,250,296
SEA-P-0178,Glenmoor Corporation,40,57
SEA-P-0180,Marrow Corporation,241,269
SEA-P-0180,Westmere Corporation,192,255
SEA-P-0182,Quillon Manufacturing,257,273
SEA-P-0183,Lindholm  Works,71,109
SEA-P-0183,Braxton Industries,243,293
SEA-P-0183,Quillon Manufacturing,27,29
SEA-P-0184,Eastvale Industries ,40,50
SEA-P-0184,Deepwater Corporation,294,399
SEA-P-0185,Calder Corporation,76,88
SEA-P-0185,Ironside  Manufacturing,204,256
SEA-P-0186,Thackery  Industries,266,299
SEA-P-0186,Quillon Mfg.,173,258
SEA-P-0187,stanmore manufacturing,156,204
SEA-P-0187,Marrow Corporation,262,394
SEA-P-0187,Deepwater Corporation,59,93
SEA-P-0188,Westmere Corp.,248,283
SEA-P-0188,Ravensford  Corporation,138,218
SEA-P-0189,Deepwater Corporation,228,278
SEA-P-0189,underhill industries,19,25
SEA-P-0190,Westmere Corporation,244,373
SEA-P-0191,Thackery Industries,290,356
SEA-P-0191,Westmere Corporation,163,256
SEA-P-0192,marrow corporation,288,349
SEA-P-0193,Northwind Corp.,179,281
SEA-P-0193,vantage works,181,245
SEA-P-0193,Westmere Corp.,296,420
SEA-P-0194,Thackery Industries,278,333
SEA-P-0194,Vantage  Works,134,195
SEA-P-0194,Westmere Corporation,125,147
SEA-P-0195,Lindholm Works,73,76
SEA-P-0195,Quillon Mfg,214,263
SEA-P-0197,pellworth corporation,22,34
SEA-P-0198,Stanmore Manufacturing,256,295
SEA-P-0199,Thackery Industries,281,376
SEA-P-0199,Vantage Works,57,88
SEA-P-0200,Harrowgate Works,60,73
SEA-P-0200,Quillon Manufacturing,98,103
SEA-P-0201,Deepwater Corporation,51,58
SEA-P-0201,norbury corporation,130,136
SEA-P-0201,Quillon Manufacturing,139,218
SEA-P-0202,Pellworth Corporation ,241,293
SEA-P-0202,Ravensford Corporation,187,267
SEA-P-0203,QUILLON MANUFACTURING,154,192
SEA-P-0203,Westmere Corporation,247,280
SEA-P-0204,Eastvale Inds.,44,58
SEA-P-0204,Underhill Industries,244,357
SEA-P-0205,Kestrel Corporation,79,90
SEA-P-0205,eastvale industries,283,437
SEA-P-0206,Oakhaven Mfg,70,93
SEA-P-0206,Braxton Industries,253,278
SEA-P-0206,Fairmont Industries,289,376
SEA-P-0207,Yarrow Corp,35,47
SEA-P-0207,deepwater corporation,19,22
SEA-P-0207,Ravensford Corporation,114,155
SEA-P-0208,Harrowgate  Works,232,354
SEA-P-0209,Kestrel Corporation,117,176
SEA-P-0209,Deepwater  Corporation,181,201
SEA-P-0209,Fairmont Industries,281,360
SEA-P-0210,Lindholm Wks.,99,154
SEA-P-0210,BRAXTON INDUSTRIES,217,301
SEA-P-0211,Yarrow Corporation,20,25
SEA-P-0211,NORTHWIND CORPORATION,31,34
SEA-P-0212,Lindholm Works,167,197
SEA-P-0212,Pellworth  Corporation,92,128
SEA-P-0212,Ravensford Corporation,116,148
SEA-P-0213,Jasper Works,198,293
SEA-P-0214,Jasper Works,216,293
SEA-P-0214,Ironside Mfg.,76,113
SEA-P-0215,Lindholm Works,43,66
SEA-P-0216,Kestrel Corporation,196,278
SEA-P-0216,Ravensford Corporation,10,11
SEA-P-0217,Ravensford Corporation,248,385
SEA-P-0218,NORTHWIND CORPORATION,186,226
SEA-P-0218,Westmere Corporation,167,246
SEA-P-0219,Braxton Industries,26,35
SEA-P-0219,Jasper Works,166,257
SEA-P-0220,Harrowgate Works,299,432
SEA-P-0221,Northwind Corporation,294,443
SEA-P-0222,Glenmoor  Corporation,253,400
SEA-P-0224,Westmere Corporation,261,339
SEA-P-0225,GLENMOOR CORPORATION,11,11
SEA-P-0226,Quillon Manufacturing,52,69
SEA-P-0227,Underhill Industries,206,225
SEA-P-0228,Braxton Industries,44,62
SEA-P-0228,PELLWORTH CORPORATION,197,247
SEA-P-0229,Norbury Corporation ,51,78
SEA-P-0230,northwind corporation,19,21
SEA-P-0230,Lindholm Wks,41,58
SEA-P-0230,Westmere Corp.,76,111
SEA-P-0232,Ravensford Corporation,41,50
SEA-P-0233,Marrow  Corporation,154,229
SEA-P-0233,Deepwater Corporation ,224,258
SEA-P-0233,Underhill Industries,233,307
SEA-P-0234,Kestrel Corporation,81,118
SEA-P-0234,CALDER CORPORATION,49,51
SEA-P-0235,Calder Corporation,48,59
SEA-P-0235,Eastvale Industries,98,126
SEA-P-0236,Underhill Inds.,152,194
SEA-P-0237,Lindholm Works,156,205
SEA-P-0237,Ironside Manufacturing,77,83
SEA-P-0237,Ravensford Corporation,89,100
SEA-P-0238,calder corporation,256,352
SEA-P-0239,Oakhaven  Manufacturing,205,252
SEA-P-0240,Marrow Corporation,72,87
SEA-P-0240,Braxton Industries,93,146
SEA-P-0241,Vantage Works,127,156
SEA-P-0241,Westmere Corporation,95,135
SEA-P-0241,RAVENSFORD CORPORATION,61,95
SEA-P-0242,Braxton Inds,258,290
SEA-P-0242,Ravensford  Corporation,152,229
SEA-P-0243,Calder Corporation,196,213
SEA-P-0243,Fairmont Industries,276,366
SEA-P-0244,Norbury Corporation,130,183
SEA-P-0244,Ironside Mfg.,25,33
SEA-P-0244,Westmere Corporation,277,381
SEA-P-0245,Deepwater Corporation,268,363
SEA-P-0245,Glenmoor Corporation,8,8
SEA-P-0246,Lindholm Works,259,293
SEA-P-0246,Braxton Industries,154,196
SEA-P-0248,Yarrow Corporation,87,135
SEA-P-0248,Marrow Corporation,285,324
SEA-P-0249,Braxton Industries,98,137
SEA-P-0250,YARROW CORPORATION,35,47
SEA-P-0250,westmere corporation,103,134
SEA-P-0251,jasper works,203,278
SEA-P-0252,Braxton Inds,155,241
SEA-P-0252,Underhill Industries,163,181
SEA-P-0253,Eastvale Industries ,252,352
SEA-P-0254,Stanmore Manufacturing,186,292
SEA-P-0254,Glenmoor Corporation,74,85
SEA-P-0255,Northwind Corporation,254,324
SEA-P-0255,Deepwater Corporation,45,61
SEA-P-0256,Thackery Industries,140,206
SEA-P-0257,Thackery Inds,63,93
SEA-P-0257,Eastvale Industries,220,243
SEA-P-0257,Ironside Manufacturing,19,24
SEA-P-0259,Northwind Corporation,182,244
SEA-P-0260,Stanmore Manufacturing,139,218
SEA-P-0260,Marrow Corporation,213,331
SEA-P-0261,Harrowgate Works ,298,416
SEA-P-0261,Glenmoor Corporation,167,251
SEA-P-0261,Westmere Corp,41,57
SEA-P-0262,Quillon Mfg,186,282
SEA-P-0263,northwind corporation,69,93
SEA-P-0263,Deepwater Corporation,168,252
SEA-P-0263,Norbury Corporation,27,29
SEA-P-0264,Yarrow  Corporation,70,107
SEA-P-0265,Kestrel Corporation,159,230
SEA-P-0266,Kestrel Corporation ,219,313
SEA-P-0266,Norbury Corporation,247,269
SEA-P-0266,Glenmoor Corporation,230,242
SEA-P-0267,Lindholm Works,55,60
SEA-P-0267,Deepwater Corporation,198,292
SEA-P-0268,Harrowgate Works,291,306
SEA-P-0268,Glenmoor Corporation,112,156
SEA-P-0268,Fairmont Industries,229,348
SEA-P-0269,Oakhaven Mfg,199,247
SEA-P-0270,Harrowgate Works ,130,176
SEA-P-0270,Lindholm Works,157,182
SEA-P-0271,Northwind Corp.,30,44
SEA-P-0271,Ravensford Corporation,60,70
SEA-P-0272,Kestrel Corporation,70,88
SEA-P-0272,Quillon Manufacturing,91,133
SEA-P-0273,Pellworth Corporation,208,227
SEA-P-0274,Harrowgate Works,170,215
SEA-P-0274,Underhill Industries,43,57
SEA-P-0275,Glenmoor Corporation ,226,328
SEA-P-0275,Fairmont Industries,47,73
SEA-P-0276,Underhill Industries,92,102
SEA-P-0277,Yarrow  Corporation,67,97
SEA-P-0277,Westmere Corporation ,270,360
SEA-P-0278,YARROW CORPORATION,191,217
SEA-P-0278,Oakhaven Manufacturing,264,329
SEA-P-0278,Ravensford Corporation,271,294
SEA-P-0279,Ravensford Corporation,21,28
SEA-P-0281,THACKERY INDUSTRIES,162,199
SEA-P-0281,Deepwater Corporation,105,127
SEA-P-0282,Northwind Corporation,7,11
SEA-P-0282,Jasper Wks,212,225
SEA-P-0283,fairmont industries,160,177
SEA-P-0284,Lindholm Works,146,160
SEA-P-0284,norbury corporation,193,251
SEA-P-0285,Oakhaven Manufacturing,69,81
SEA-P-0285,Pellworth Corporation,204,222
SEA-P-0286,Marrow Corporation,170,208
SEA-P-0287,Kestrel Corporation ,58,65
SEA-P-0288,Braxton Industries,277,345
SEA-P-0289,CALDER CORPORATION,265,285
SEA-P-0289,VANTAGE WORKS,170,192
SEA-P-0289,Braxton Inds.,158,237
SEA-P-0290,Stanmore Manufacturing ,234,317
SEA-P-0291,Oakhaven Manufacturing,9,9
SEA-P-0292,Yarrow Corporation,134,167
SEA-P-0292,Yarrow Holdings,85,106
SEA-P-0293,Thackery Industries,257,274
SEA-P-0293,stanmore manufacturing,112,173
SEA-P-0293,Pellworth Corporation,79,84
SEA-P-0294,Lindholm  Works,284,373
SEA-P-0294,Glenmoor Corporation,73,93
SEA-P-0295,lindholm works,260,318
